Particles,Pixel Count,area,dia
156,982,18.957657966461685,4.913007205211754
157,244,4.710456765597405,2.4489875107325285
158,638,12.316686132996493,3.960062101106793
159,241,4.652541313561371,2.4338856965643263
160,1193,23.03104475966272,5.41516730531644
161,645,12.451822187747238,3.981727315305569
162,560,10.810884380059617,3.7101004711802066
163,557,10.752968928023584,3.7001493567784665
164,574,11.081156489561108,3.7561904429764845
165,590,11.390038900419954,3.8081817110120277
166,327,6.312784271927669,2.835081404898364
167,453,8.745233257441084,3.3368813001524478
168,421,8.12746843572339,3.216864033643613
169,575,11.100461640239786,3.7594609620488204
170,890,17.18158410402332,4.677207748479381
171,278,5.366831888672453,2.614050992349512
172,417,8.05024783300868,3.201545546436159
173,1441,27.818722127974837,5.951461761394143
174,1549,29.90367840127205,6.170457509256695
175,1326,25.59862979992688,5.709044381707228
176,944,18.224062240671927,4.817011180238053
177,566,10.926715284131685,3.7299230546780144
178,585,11.293513147026564,3.7920110149867283
179,239,4.613931012204016,2.4237655458847684
180,892,17.220194405380678,4.682460088987186
181,531,10.251035010377958,3.612758385178539
182,273,5.270306135279063,2.590436678303033
183,400,7.722060271471156,3.1356071986882257
184,446,8.610097202690339,3.3109992815582046
185,660,12.741399447927407,4.02776037424869
186,479,9.247167175086709,3.4313057170845824
187,606,11.6989213112788,3.8594726640131958
188,394,7.606229367399088,3.112001288061822
189,633,12.220160379603103,3.944514094069956
190,153,2.953688053837717,1.9392659520957984
191,615,11.872667667386901,3.8880264885434594
192,336,6.48653062803577,2.873831467527446
193,137,2.644805642978871,1.8350670649268945
194,341,6.58305638142916,2.895135179928007
195,633,12.220160379603103,3.944514094069956
196,226,4.362964053381202,2.356925617201986
197,199,3.8417249850568997,2.211659144391727
198,489,9.440218681873487,3.4669380924252136
199,353,6.814718189573295,2.945635531628232
200,467,9.015505366942573,3.3880522352766906
201,336,6.48653062803577,2.873831467527446
202,184,3.5521477248767312,2.126672271896658
203,837,16.158411118053394,4.535805112170704
204,334,6.447920326678415,2.86526563187929
205,269,5.193085532564352,2.5713890913770703
206,516,9.961457750197791,3.561365177956396
207,179,3.455621971483342,2.0975782573597286
208,503,9.710490791374978,3.5162168412038053
209,560,10.810884380059617,3.7101004711802066
210,400,7.722060271471156,3.1356071986882257
211,446,8.610097202690339,3.3109992815582046
212,642,12.393906735711205,3.9724566919812987
213,257,4.961423724420217,2.513380369963733
214,505,9.749101092732333,3.523200396924307
215,381,7.355262408576276,3.0602305404173906
216,803,15.502035994978344,4.442724980540022
217,272,5.251000984600386,2.5856879361277314
218,450,8.68731780540505,3.3258136699946976
219,640,12.355296434353848,3.9662642381899715
220,454,8.764538408119762,3.3405623617241833
221,582,11.235597694990531,3.782275412234967
222,619,11.949888270101614,3.900649984382121
223,388,7.490398463327021,3.088214942216856
224,785,15.154543282762143,4.39264883527165
225,381,7.355262408576276,3.0602305404173906
226,438,8.455655997260916,3.2811698511947895
227,525,10.135204106305892,3.592289334409308
228,800,15.444120542942311,4.434418226659597
229,280,5.405442190029809,2.6234372020549293
230,359,6.930549093645362,2.970563780287795
231,301,5.810850354282044,2.72003758422751
232,458,8.841759010834473,3.3552462230979274
233,713,13.764572433897335,4.186358553589218
234,611,11.79544706467219,3.8753618734991617
235,677,13.06958700946493,4.079303251023111
236,816,15.753002953801158,4.47854287789114
237,105,2.027040821261178,1.606520629317337
238,427,8.243299339795458,3.2397059586506978
239,774,14.942186625296685,4.36176373685469
240,541,10.444086517164738,3.6466181541655116
241,546,10.540612270558126,3.6634306829248593
242,485,9.362998079158777,3.4527292699637373
243,790,15.251069036155531,4.406615957434822
244,665,12.837925201320795,4.042988256064289
245,272,5.251000984600386,2.5856879361277314
246,262,5.057949477813607,2.537711821784509
247,129,2.490364437549448,1.780682588978198
248,524,10.115898955627214,3.5888664757621873
249,354,6.8340233402519726,2.94980486921625
250,436,8.417045695903559,3.2736700245851456
251,405,7.818586024864545,3.155143881152053
252,167,3.2239601633392074,2.026048758202604
253,469,9.05411566829993,3.3952994141144175
254,378,7.297346956540242,3.048158578013917
255,473,9.131336271014641,3.4097475619949287
256,208,4.015471341165001,2.2611185069168798
257,257,4.961423724420217,2.513380369963733
258,852,16.44798837823356,4.5762680466195755
259,270,5.21239068324303,2.5761641912956867
260,300,5.791545203603366,2.715515490353363
261,603,11.641005859242767,3.8499076612928813
262,470,9.073420818978608,3.3989172088691526
263,442,8.532876599975626,3.296118310594189
264,625,12.06571917417368,3.9195089983602815
265,347,6.698887285501227,2.9204945125138915
266,278,5.366831888672453,2.614050992349512
267,373,7.200821203146853,3.0279316885316296
268,269,5.193085532564352,2.5713890913770703
269,459,8.86106416151315,3.358907158418355
270,743,14.34372695425767,4.27352318082452
271,442,8.532876599975626,3.296118310594189
272,475,9.169946572371996,3.4169487264301592
273,704,13.590826077789233,4.159853027194488
274,451,8.706622956083727,3.3295069678234284
275,248,4.787677368312116,2.4689795772279206
276,180,3.4749271221620197,2.1034292541013686
277,405,7.818586024864545,3.155143881152053
278,498,9.613965037981588,3.498696967166412
279,389,7.509703614005699,3.0921920397337264
280,443,8.552181750654304,3.2998448446397375
281,200,3.861030135735578,2.2172091133297984
282,312,6.023207011747501,2.7692932949550553
283,1690,32.62570464696563,6.445179387058703
284,445,8.59079205201166,3.307285315968034
285,393,7.58692421672041,3.1080495388003837
286,412,7.95372207961529,3.182293745020938
287,284,5.48266279274452,2.642109588599695
288,467,9.015505366942573,3.3880522352766906
289,564,10.88810498277433,3.7233272527802663
290,506,9.768406243411011,3.5266869889669477
291,257,4.961423724420217,2.513380369963733
292,344,6.640971833465193,2.90784249123646
293,699,13.494300324395844,4.145054499225954
294,344,6.640971833465193,2.90784249123646
295,2008,38.7647425627852,7.025439713812682
296,1134,21.892040869620725,5.279565526647005
297,453,8.745233257441084,3.3368813001524478
298,424,8.185383887759425,3.228305198511031
299,909,17.5483819669182,4.726869351526195
300,914,17.64490772031159,4.739851714210423
301,684,13.204723064215676,4.100338471716191
302,422,8.14677358640207,3.220682271229346
303,633,12.220160379603103,3.944514094069956
304,509,9.826321695447046,3.537126144475519
305,633,12.220160379603103,3.944514094069956
306,744,14.363032104936348,4.276398070608685
307,448,8.648707504047694,3.3184147427651767
308,546,10.540612270558126,3.6634306829248593
309,225,4.343658902702525,2.3517053990161694
310,248,4.787677368312116,2.4689795772279206
